age,work,edu,marital,occupation,race,sex,hrs_per_week,income
49,Self-emp,HS-grad,Married,White-Collar,White,Male,50,>50K
25,?,HS-grad,Never-married,?,White,Male,40,<=50K
19,Private,HS-grad,Never-married,Professional,White,Male,32,<=50K
31,Private,Bachelors,Separated,Sales,Black,Female,40,<=50K
29,Self-emp,Bachelors,Married,Sales,White,Male,70,>50K
23,Private,HS-grad,Never-married,Blue-Collar,White,Male,40,<=50K
79,Private,HS-grad,Married,Professional,White,Male,20,<=50K
27,Private,HS-grad,Never-married,Service,White,Male,40,<=50K
40,Private,Associates,Married,Admin,White,Male,40,<=50K
67,?,Dropout,Married,?,White,Male,2,<=50K
18,Private,Dropout,Never-married,Service,White,Female,22,<=50K
31,Local-gov,Dropout,Married,Blue-Collar,White,Male,40,<=50K
18,Private,HS-grad,Never-married,Sales,White,Male,30,<=50K
52,Private,Bachelors,Married,Service,White,Male,40,<=50K
46,Private,HS-grad,Married,Service,White,Female,40,<=50K
59,Private,HS-grad,Married,Sales,White,Male,48,<=50K
44,Private,HS-grad,Divorced,Blue-Collar,White,Female,40,>50K
53,Private,HS-grad,Divorced,Sales,White,Female,35,<=50K
49,Local-gov,HS-grad,Married,Other-Occupations,White,Male,40,>50K
33,Private,Masters,Married,Professional,White,Male,50,<=50K
30,Private,Dropout,Never-married,Sales,White,Male,40,<=50K
43,Federal-gov,Doctorate,Never-married,Professional,White,Female,50,>50K
57,Private,Associates,Married,Professional,White,Male,40,<=50K
37,Private,HS-grad,Divorced,Blue-Collar,White,Female,40,<=50K
28,Private,HS-grad,Divorced,Blue-Collar,Black,Female,25,<=50K
30,Private,HS-grad,Married,Sales,Asian-Pac-Islander,Female,35,<=50K
34,Local-gov,Bachelors,Married,Other-Occupations,White,Male,40,>50K
29,Local-gov,HS-grad,Never-married,Blue-Collar,White,Male,50,<=50K
48,Self-emp,Doctorate,Married,Professional,White,Male,60,>50K
37,Private,HS-grad,Married,Sales,White,Male,48,>50K
48,Private,Associates,Divorced,White-Collar,White,Female,40,<=50K
32,Federal-gov,HS-grad,Never-married,Service,Black,Male,40,<=50K
76,Private,Masters,Married,White-Collar,White,Male,40,>50K
44,Private,Bachelors,Married,White-Collar,White,Male,60,>50K
47,Self-emp,Masters,Never-married,Professional,White,Female,50,<=50K
20,Private,HS-grad,Never-married,Other-Occupations,White,Female,40,<=50K
29,Private,HS-grad,Never-married,Blue-Collar,White,Male,40,<=50K
32,Self-emp,HS-grad,Married,Blue-Collar,White,Male,40,>50K
17,?,Dropout,Never-married,?,White,Female,32,<=50K
30,Private,Dropout,Never-married,Blue-Collar,White,Male,40,<=50K
31,Local-gov,HS-grad,Never-married,Admin,White,Female,40,<=50K
42,Private,HS-grad,Married,Blue-Collar,White,Male,40,<=50K
24,Private,Bachelors,Never-married,Sales,White,Male,40,<=50K
38,Private,Prof-school,Married,Professional,White,Male,40,>50K
56,Self-emp,HS-grad,Married,Service,White,Male,50,>50K
28,Private,HS-grad,Married,Sales,White,Female,25,<=50K
36,Private,HS-grad,Never-married,Blue-Collar,White,Female,40,<=50K
53,Private,Dropout,Married,Blue-Collar,White,Male,50,<=50K
56,Self-emp,HS-grad,Married,Sales,White,Male,50,<=50K
49,Local-gov,Associates,Married,Blue-Collar,Black,Male,40,>50K
55,Private,HS-grad,Married,Sales,White,Male,56,<=50K
22,Private,HS-grad,Never-married,Blue-Collar,White,Male,41,<=50K
21,Private,HS-grad,Never-married,Service,White,Female,40,<=50K
40,Private,Bachelors,Married,White-Collar,White,Male,60,<=50K
30,Private,Bachelors,Never-married,White-Collar,Black,Male,40,<=50K
29,State-gov,Bachelors,Married,Professional,White,Male,50,>50K
19,Private,HS-grad,Never-married,Service,Black,Male,35,<=50K
47,Private,Bachelors,Married,White-Collar,White,Female,40,>50K
20,Private,HS-grad,Never-married,Admin,White,Female,28,<=50K
31,Private,Associates,Married,Admin,White,Male,40,>50K
35,?,HS-grad,Married,?,White,Male,40,<=50K
39,Private,HS-grad,Divorced,Blue-Collar,White,Male,40,<=50K
28,Private,Associates,Never-married,Sales,White,Female,60,<=50K
24,Private,HS-grad,Never-married,Service,White,Female,40,<=50K
38,Self-emp,HS-grad,Married,Blue-Collar,White,Male,35,<=50K
37,Private,Bachelors,Married,Sales,White,Male,50,<=50K
46,Private,Associates,Divorced,Other-Occupations,Black,Female,36,<=50K
38,Federal-gov,Masters,Married,Professional,White,Male,40,>50K
43,Self-emp,HS-grad,Married,Blue-Collar,White,Male,60,<=50K
27,Private,Associates,Married,Admin,White,Female,35,<=50K
20,Private,HS-grad,Never-married,Sales,White,Male,20,<=50K
49,Private,HS-grad,Married,Blue-Collar,Asian-Pac-Islander,Male,40,>50K
61,Self-emp,HS-grad,Married,Blue-Collar,White,Male,40,<=50K
27,Private,HS-grad,Never-married,Sales,White,Female,40,<=50K
19,Private,HS-grad,Never-married,Service,White,Male,30,<=50K
45,Private,Associates,Never-married,Professional,White,Female,40,>50K
70,Private,HS-grad,Never-married,Other-Occupations,White,Male,40,<=50K
31,Private,HS-grad,Never-married,Blue-Collar,Black,Female,30,<=50K
22,Private,HS-grad,Married,Service,White,Male,24,<=50K
36,Private,HS-grad,Widowed,Service,White,Female,24,<=50K
64,Private,Dropout,Married,Blue-Collar,White,Male,40,<=50K
43,?,HS-grad,Divorced,?,White,Female,40,<=50K
47,Local-gov,HS-grad,Divorced,Admin,White,Female,38,<=50K
34,Private,HS-grad,Never-married,Admin,White,Female,40,<=50K
33,Private,Bachelors,Never-married,White-Collar,Asian-Pac-Islander,Female,40,<=50K
21,Private,HS-grad,Never-married,Blue-Collar,White,Male,35,<=50K
52,?,HS-grad,Divorced,?,White,Male,45,>50K
48,Private,HS-grad,Married,Blue-Collar,White,Male,46,<=50K
23,Private,Bachelors,Never-married,Blue-Collar,White,Male,40,<=50K
71,Self-emp,HS-grad,Separated,Sales,Black,Male,2,<=50K
29,Private,HS-grad,Divorced,Blue-Collar,White,Male,60,<=50K
42,Private,Bachelors,Separated,Service,Black,Male,50,<=50K
68,?,Dropout,Divorced,?,White,Female,20,<=50K
25,Private,HS-grad,Never-married,Service,White,Female,40,<=50K
44,Self-emp,Masters,Divorced,White-Collar,Asian-Pac-Islander,Female,40,<=50K
28,Private,HS-grad,Never-married,White-Collar,Asian-Pac-Islander,Female,40,<=50K
45,Self-emp,Masters,Married,Sales,White,Male,40,>50K
36,Private,HS-grad,Divorced,Service,White,Female,40,<=50K
39,Federal-gov,Associates,Never-married,White-Collar,White,Male,42,<=50K
46,State-gov,Masters,Widowed,Other-Occupations,White,Male,40,<=50K
18,Private,Dropout,Never-married,Blue-Collar,White,Male,16,<=50K
66,Local-gov,Associates,Widowed,Professional,White,Female,20,<=50K
27,Private,HS-grad,Never-married,Service,White,Male,40,<=50K
28,State-gov,HS-grad,Married,Other-Occupations,White,Male,40,<=50K
51,Private,HS-grad,Married,Sales,White,Male,40,>50K
27,Private,Bachelors,Never-married,Blue-Collar,White,Male,50,<=50K
28,State-gov,Bachelors,Married,Professional,White,Male,40,>50K
27,Private,HS-grad,Married-spouse-absent,Sales,White,Female,25,<=50K
21,Private,HS-grad,Never-married,Blue-Collar,Black,Male,40,<=50K
34,Private,HS-grad,Never-married,Blue-Collar,Black,Male,40,<=50K
18,Private,HS-grad,Never-married,Service,White,Male,12,<=50K
33,Private,Bachelors,Married,Professional,White,Male,65,<=50K
44,Local-gov,HS-grad,Married,White-Collar,Black,Male,38,>50K
43,Private,HS-grad,Divorced,Admin,White,Female,40,<=50K
30,Private,HS-grad,Never-married,Blue-Collar,Black,Male,45,<=50K
40,Private,Dropout,Married,Blue-Collar,White,Male,40,>50K
37,Federal-gov,HS-grad,Married,Admin,White,Male,42,>50K
34,Private,HS-grad,Married,Admin,Black,Male,40,<=50K
41,Self-emp,Bachelors,Divorced,White-Collar,White,Female,40,<=50K
53,?,Bachelors,Divorced,?,White,Female,50,<=50K
31,Private,Masters,Married,Professional,White,Female,50,<=50K
58,State-gov,Doctorate,Married,Professional,White,Male,1,>50K
38,Private,HS-grad,Divorced,Blue-Collar,Black,Female,28,<=50K
24,Private,HS-grad,Married,Blue-Collar,White,Male,40,<=50K
41,Local-gov,Bachelors,Married,Blue-Collar,Black,Male,40,<=50K
47,Private,HS-grad,Married,Other-Occupations,White,Male,45,<=50K
41,Federal-gov,Bachelors,Married,Other-Occupations,White,Male,24,<=50K
23,Private,Dropout,Married,Blue-Collar,White,Male,40,<=50K
36,Private,HS-grad,Divorced,Blue-Collar,White,Male,40,<=50K
40,Federal-gov,Masters,Never-married,White-Collar,White,Female,55,>50K
35,Private,Masters,Married,Professional,White,Male,40,>50K
24,Self-emp,HS-grad,Never-married,Sales,White,Male,40,<=50K
26,Private,Masters,Never-married,Professional,White,Female,40,<=50K
19,?,HS-grad,Never-married,?,White,Male,40,<=50K
51,Private,Bachelors,Married,White-Collar,White,Male,50,>50K
42,Local-gov,HS-grad,Never-married,Professional,White,Female,40,<=50K
37,State-gov,HS-grad,Divorced,Admin,White,Female,35,<=50K
18,Private,Dropout,Never-married,Sales,White,Female,40,<=50K
36,Private,Bachelors,Married,Service,Black,Male,36,>50K
35,Private,HS-grad,Divorced,Blue-Collar,White,Male,60,<=50K
58,Self-emp,HS-grad,Married,Sales,White,Female,35,>50K
17,Private,Dropout,Never-married,Sales,White,Female,12,<=50K
44,Local-gov,HS-grad,Married,Blue-Collar,Black,Male,40,<=50K
37,Private,HS-grad,Married,Blue-Collar,White,Male,40,>50K
35,Private,HS-grad,Never-married,Sales,Amer-Indian-Eskimo,Female,40,<=50K
60,Private,HS-grad,Married,Blue-Collar,Asian-Pac-Islander,Male,40,<=50K
54,Self-emp,Dropout,Married,Blue-Collar,White,Male,40,>50K
37,Private,Bachelors,Never-married,White-Collar,Black,Male,60,>50K
50,Private,Associates,Divorced,Sales,White,Female,40,<=50K
38,Private,Bachelors,Married,Sales,White,Male,50,<=50K
45,Private,Bachelors,Married,Professional,White,Male,55,<=50K
25,Private,Dropout,Never-married,Blue-Collar,White,Male,40,<=50K
31,Private,HS-grad,Married,Blue-Collar,White,Male,40,<=50K
64,?,Dropout,Divorced,?,White,Male,40,<=50K
90,Private,HS-grad,Never-married,Service,Black,Male,40,<=50K
54,Private,HS-grad,Married,Admin,Black,Male,20,<=50K
53,Local-gov,Dropout,Never-married,Blue-Collar,White,Female,35,<=50K
18,Private,HS-grad,Never-married,Sales,White,Female,40,<=50K
60,?,Dropout,Divorced,?,Amer-Indian-Eskimo,Female,10,<=50K
66,Self-emp,HS-grad,Married,Blue-Collar,White,Male,50,<=50K
75,Private,Associates,Widowed,Admin,White,Female,20,<=50K
65,Private,HS-grad,Divorced,Admin,White,Female,40,<=50K
35,Private,Dropout,Separated,Blue-Collar,Black,Male,40,<=50K
41,Private,HS-grad,Divorced,Sales,Black,Female,38,<=50K
25,Private,HS-grad,Never-married,Admin,White,Male,42,<=50K
33,Private,HS-grad,Divorced,Blue-Collar,Other,Female,40,<=50K
28,Private,Prof-school,Never-married,Professional,White,Male,55,>50K
59,State-gov,HS-grad,Married,Service,White,Male,40,<=50K
40,State-gov,HS-grad,Never-married,Admin,White,Female,38,<=50K
41,Private,Bachelors,Married,White-Collar,White,Male,50,>50K
38,Local-gov,Masters,Married,White-Collar,White,Male,70,>50K
23,Private,HS-grad,Never-married,Blue-Collar,White,Male,40,<=50K
40,Private,Bachelors,Married,Professional,White,Male,40,>50K
41,Self-emp,HS-grad,Married,Service,White,Female,20,<=50K
24,State-gov,Associates,Married,Other-Occupations,White,Male,50,<=50K
20,?,HS-grad,Never-married,?,White,Male,20,<=50K
38,Private,HS-grad,Divorced,Blue-Collar,White,Male,40,<=50K
56,Private,HS-grad,Married,Admin,White,Male,35,<=50K
58,Private,HS-grad,Married,Admin,White,Male,45,>50K
32,Private,HS-grad,Never-married,Service,White,Female,34,<=50K
40,Private,Associates,Married,Other-Occupations,White,Male,60,>50K
45,Private,HS-grad,Married,Admin,White,Male,40,<=50K
41,Private,Prof-school,Married,Professional,White,Female,40,>50K
42,Private,Bachelors,Married,Admin,Black,Female,40,<=50K
59,Local-gov,Dropout,Widowed,Service,Black,Female,30,<=50K
19,Local-gov,HS-grad,Never-married,Admin,White,Male,40,<=50K
58,Private,HS-grad,Never-married,Blue-Collar,White,Male,20,<=50K
42,Self-emp,HS-grad,Married,Blue-Collar,Asian-Pac-Islander,Male,40,>50K
20,Private,HS-grad,Never-married,Service,White,Female,40,<=50K
32,Private,HS-grad,Separated,Service,White,Female,30,<=50K
45,Private,Associates,Widowed,White-Collar,White,Female,45,<=50K
50,Private,Dropout,Divorced,Blue-Collar,White,Male,40,<=50K
36,Private,Bachelors,Divorced,Professional,White,Female,40,<=50K
45,Private,HS-grad,Married,Sales,White,Male,60,<=50K
17,Private,Dropout,Never-married,Service,White,Male,12,<=50K
59,Private,HS-grad,Married,Sales,White,Male,40,<=50K
26,Private,Dropout,Married,Blue-Collar,White,Male,40,<=50K
37,Self-emp,HS-grad,Married,White-Collar,Asian-Pac-Islander,Male,75,>50K
19,?,HS-grad,Never-married,?,White,Male,24,<=50K
64,Private,HS-grad,Married,White-Collar,White,Male,40,>50K
33,Private,Bachelors,Never-married,Professional,White,Female,45,<=50K
33,Private,HS-grad,Married,Blue-Collar,White,Female,40,>50K
61,Private,HS-grad,Married,White-Collar,White,Male,40,>50K
17,Private,Dropout,Never-married,Service,White,Male,24,<=50K
50,Self-emp,Masters,Married,Blue-Collar,White,Male,98,<=50K
27,Local-gov,Masters,Never-married,Professional,White,Male,35,<=50K
30,Private,HS-grad,Divorced,Professional,White,Female,40,<=50K
43,Private,HS-grad,Married,Blue-Collar,Black,Male,40,<=50K
44,Private,HS-grad,Married,Blue-Collar,White,Male,40,>50K
35,Private,HS-grad,Never-married,White-Collar,White,Female,40,<=50K
25,Private,HS-grad,Never-married,Other-Occupations,White,Female,40,<=50K
24,Private,HS-grad,Married,Blue-Collar,White,Female,48,>50K
22,Private,Bachelors,Never-married,Professional,White,Female,15,<=50K
42,Local-gov,HS-grad,Married,Blue-Collar,White,Male,40,>50K
34,Private,Associates,Divorced,Sales,Black,Female,45,<=50K
60,Private,Bachelors,Divorced,Professional,White,Female,42,<=50K
21,Private,HS-grad,Never-married,Blue-Collar,White,Male,40,<=50K
57,Federal-gov,Masters,Married,Sales,White,Male,40,>50K
41,Private,Prof-school,Married,Professional,White,Male,60,>50K
50,Private,HS-grad,Divorced,Service,White,Male,45,<=50K
25,Private,Bachelors,Never-married,White-Collar,White,Female,40,<=50K
50,Private,Dropout,Married,Blue-Collar,White,Male,40,<=50K
36,Private,Bachelors,Married,Professional,White,Male,45,<=50K
31,Private,HS-grad,Divorced,Professional,White,Female,40,<=50K
29,Local-gov,Bachelors,Never-married,Other-Occupations,White,Male,56,<=50K
21,Private,HS-grad,Never-married,Sales,White,Male,45,<=50K
27,Private,Bachelors,Never-married,Other-Occupations,Black,Female,40,<=50K
65,Private,HS-grad,Married,Blue-Collar,White,Male,16,<=50K
37,Self-emp,Bachelors,Divorced,Sales,White,Female,60,<=50K
39,?,Masters,Married,?,Asian-Pac-Islander,Female,40,<=50K
24,Private,HS-grad,Never-married,Blue-Collar,White,Male,40,<=50K
38,Private,HS-grad,Divorced,Sales,White,Male,80,<=50K
48,Private,Bachelors,Married,Admin,White,Male,40,>50K
21,Private,HS-grad,Never-married,Service,Asian-Pac-Islander,Female,25,<=50K
31,Private,HS-grad,Married,Blue-Collar,White,Male,45,>50K
55,Private,HS-grad,Married,Sales,White,Male,40,>50K
24,Private,HS-grad,Married,Admin,Asian-Pac-Islander,Female,40,<=50K
43,Private,HS-grad,Divorced,Admin,White,Female,40,<=50K
26,Private,Associates,Never-married,Other-Occupations,White,Male,45,<=50K
46,Private,Associates,Never-married,Professional,White,Female,33,<=50K
35,Private,Associates,Married,Admin,White,Male,40,>50K
41,Self-emp,HS-grad,Married,Blue-Collar,White,Male,54,>50K
26,Private,Bachelors,Never-married,Sales,White,Male,40,<=50K
34,Private,Masters,Married,White-Collar,Asian-Pac-Islander,Male,35,>50K
19,?,HS-grad,Never-married,?,Black,Female,25,<=50K
36,Self-emp,Bachelors,Divorced,Professional,Black,Female,40,>50K
22,Private,HS-grad,Never-married,Sales,White,Male,15,<=50K
24,Private,HS-grad,Never-married,Blue-Collar,White,Male,40,<=50K
77,Self-emp,HS-grad,Married,Sales,White,Male,40,<=50K
22,Private,Dropout,Married,Blue-Collar,White,Female,40,<=50K
29,Private,HS-grad,Never-married,Other-Occupations,White,Female,40,<=50K
62,Private,HS-grad,Widowed,Service,White,Female,24,<=50K
39,Self-emp,HS-grad,Married,White-Collar,White,Male,40,<=50K
43,Private,HS-grad,Married,Blue-Collar,White,Male,50,<=50K
35,Private,HS-grad,Divorced,Blue-Collar,White,Male,45,<=50K
29,Private,Dropout,Never-married,White-Collar,White,Female,40,<=50K
76,Self-emp,Masters,Married,Blue-Collar,White,Male,10,<=50K
63,Self-emp,HS-grad,Married,Blue-Collar,White,Male,45,<=50K
23,?,Associates,Never-married,?,Black,Female,15,<=50K
43,Private,HS-grad,Married,Professional,White,Female,50,>50K
58,Self-emp,HS-grad,Married,Blue-Collar,White,Male,40,<=50K
66,Private,HS-grad,Never-married,Blue-Collar,White,Male,55,<=50K
41,Private,HS-grad,Never-married,Blue-Collar,Black,Male,45,<=50K
26,Private,Bachelors,Never-married,Admin,White,Male,40,<=50K
47,Private,Associates,Never-married,Service,White,Male,40,<=50K
55,Local-gov,Dropout,Married,Admin,White,Male,40,<=50K
53,Private,HS-grad,Married,Blue-Collar,White,Male,40,<=50K
17,Private,Dropout,Never-married,Service,White,Male,48,<=50K
30,Private,HS-grad,Never-married,Blue-Collar,White,Male,40,<=50K
49,Private,Masters,Never-married,Professional,White,Male,60,<=50K
19,Private,HS-grad,Never-married,Sales,Black,Male,30,<=50K
45,Private,HS-grad,Married,Service,Black,Male,40,<=50K
26,Private,Associates,Never-married,Sales,White,Male,40,<=50K
38,Private,Associates,Married,Blue-Collar,White,Male,40,>50K
36,State-gov,HS-grad,Married,Other-Occupations,White,Male,40,>50K
33,Private,HS-grad,Never-married,Blue-Collar,White,Male,20,<=50K
22,State-gov,HS-grad,Never-married,Other-Occupations,Black,Female,40,<=50K
43,Self-emp,Bachelors,Never-married,Sales,White,Male,42,<=50K
67,?,Dropout,Married,?,White,Male,8,<=50K
30,?,Associates,Divorced,?,White,Female,40,<=50K
56,Private,Associates,Married-spouse-absent,Service,White,Male,25,<=50K
31,Private,Bachelors,Never-married,Professional,White,Male,25,<=50K
33,Private,Bachelors,Married,White-Collar,White,Male,40,>50K
26,Private,HS-grad,Married,Service,White,Male,40,<=50K
33,Private,Bachelors,Married,White-Collar,White,Male,40,>50K
46,Local-gov,Dropout,Married,Blue-Collar,White,Male,30,<=50K
59,?,Bachelors,Married,?,White,Male,40,>50K
38,Federal-gov,HS-grad,Married,Admin,White,Male,40,>50K
65,Private,Dropout,Widowed,Service,Other,Male,40,<=50K
40,Private,Associates,Married,Other-Occupations,White,Male,40,>50K
42,Private,HS-grad,Married,Admin,White,Female,35,<=50K
26,Self-emp,Dropout,Married,Blue-Collar,White,Male,40,<=50K
36,Private,Dropout,Married,Service,White,Female,24,<=50K
62,Private,Masters,Married,Professional,White,Male,40,>50K
43,Private,Bachelors,Married,Blue-Collar,White,Male,45,<=50K
43,Private,Bachelors,Divorced,White-Collar,White,Male,45,>50K
22,Private,HS-grad,Married-spouse-absent,Sales,White,Male,55,<=50K
28,Private,HS-grad,Married,Blue-Collar,White,Male,40,<=50K
56,Self-emp,HS-grad,Married,Sales,White,Male,45,<=50K
22,Private,Associates,Never-married,Sales,White,Female,15,<=50K
57,Private,Bachelors,Divorced,White-Collar,White,Female,45,>50K
39,Private,HS-grad,Divorced,Sales,White,Female,40,<=50K
26,Federal-gov,HS-grad,Never-married,Admin,White,Female,15,<=50K
17,Private,Dropout,Never-married,Service,White,Male,10,<=50K
40,State-gov,Associates,Married,Blue-Collar,White,Male,38,>50K
45,Private,HS-grad,Married,Blue-Collar,Black,Male,40,<=50K
44,Private,HS-grad,Never-married,Blue-Collar,Black,Male,40,<=50K
20,Local-gov,HS-grad,Never-married,Admin,White,Female,10,<=50K
33,Private,HS-grad,Married,Blue-Collar,White,Female,40,<=50K
23,Private,HS-grad,Never-married,Sales,White,Male,40,<=50K
46,Self-emp,Masters,Divorced,White-Collar,White,Male,30,<=50K
38,Private,HS-grad,Married,Sales,White,Male,50,<=50K
54,Private,HS-grad,Divorced,Blue-Collar,White,Male,40,<=50K
46,Private,Dropout,Divorced,Blue-Collar,White,Female,45,<=50K
25,Private,HS-grad,Married,Blue-Collar,White,Male,40,<=50K
46,Private,HS-grad,Divorced,Sales,White,Female,40,<=50K
36,Local-gov,HS-grad,Married,Blue-Collar,White,Female,40,<=50K
23,Private,HS-grad,Never-married,Service,White,Female,25,<=50K
29,Private,HS-grad,Separated,Blue-Collar,White,Male,40,<=50K
44,Private,HS-grad,Married,Admin,White,Female,6,>50K
19,Private,HS-grad,Never-married,Admin,White,Female,16,<=50K
19,Private,HS-grad,Never-married,Service,White,Female,40,<=50K
35,Private,HS-grad,Married,Service,White,Female,40,>50K
27,Private,Bachelors,Never-married,Blue-Collar,White,Male,50,<=50K
46,Self-emp,Associates,Separated,Blue-Collar,White,Male,40,<=50K
34,State-gov,Bachelors,Married,White-Collar,White,Male,45,>50K
34,Private,HS-grad,Never-married,Service,White,Female,35,<=50K
44,Private,HS-grad,Married,Other-Occupations,White,Male,40,<=50K
45,Private,HS-grad,Divorced,Blue-Collar,White,Female,40,<=50K
20,?,HS-grad,Never-married,?,White,Female,35,<=50K
25,Private,Bachelors,Married,White-Collar,White,Male,55,>50K
52,Self-emp,Bachelors,Married,White-Collar,White,Male,50,>50K
20,Private,HS-grad,Never-married,Blue-Collar,White,Male,40,<=50K
28,Private,HS-grad,Never-married,Service,White,Female,40,<=50K
50,State-gov,Bachelors,Married,Other-Occupations,White,Male,40,>50K
34,Private,Associates,Divorced,Other-Occupations,White,Female,64,<=50K
28,Private,Dropout,Married,Blue-Collar,Other,Male,40,<=50K
41,Private,Masters,Married,White-Collar,White,Male,65,>50K
28,Private,HS-grad,Married,Admin,White,Male,40,<=50K
46,Self-emp,HS-grad,Married,Blue-Collar,White,Male,25,<=50K
28,?,HS-grad,Married,?,White,Female,40,>50K
32,Private,HS-grad,Married,White-Collar,White,Male,50,<=50K
41,Local-gov,HS-grad,Divorced,Service,Black,Female,24,<=50K
24,Private,HS-grad,Never-married,Blue-Collar,Black,Female,40,<=50K
33,Private,HS-grad,Divorced,White-Collar,White,Female,40,<=50K
46,Private,Doctorate,Married,White-Collar,White,Male,60,>50K
31,State-gov,HS-grad,Married,Blue-Collar,White,Male,40,<=50K
35,Private,Dropout,Divorced,Blue-Collar,White,Male,50,>50K
52,Private,Dropout,Married,Blue-Collar,White,Male,40,<=50K
30,Private,Dropout,Never-married,Service,White,Female,19,<=50K
34,Local-gov,Dropout,Separated,Blue-Collar,Black,Male,40,<=50K
34,State-gov,HS-grad,Divorced,Blue-Collar,White,Female,40,<=50K
